110049	102029189	Delhi		locality	9
110051	1125783031	Delhi		locality	1
110052	102030425	Delhi		locality	3
110053	1125783031	Delhi		locality	25
110054	1125783031	Delhi		locality	4
110055	1125783031	Delhi		locality	14
110056	102030425	Delhi		locality	1
110057	102029189	Delhi		locality	1
110058	890509685	New Delhi		locality	8
110058	102029189	Delhi		locality	1
110060	1125783031	Delhi		locality	3
110062	102029189	Delhi		locality	2
110063	890509685	New Delhi		locality	12
110064	890509685	New Delhi		locality	2
110064	102029189	Delhi		locality	1
110065	102029189	Delhi		locality	3
110066	102029189	Delhi		locality	1
110067	102029189	Delhi		locality	4
110068	102029189	Delhi		locality	1
110070	102029189	Delhi		locality	31
110074	102029189	Delhi		locality	2
110075	890509685	New Delhi		locality	54
110075	102031165	Dwarka		locality	4
110076	102029189	Delhi		locality	1
110077	102031165	Dwarka		locality	2
110077	890509685	New Delhi		locality	2
110078	890509685	New Delhi		locality	20
110078	102031165	Dwarka		locality	3
110081	102030425	Delhi		locality	1
110081	890509685	New Delhi		locality	1
110084	1125783031	Delhi		locality	4
110084	890509685	New Delhi		locality	1
110085	102030425	Delhi		locality	11
110087	890509685	New Delhi		locality	509
110087	102030425	Delhi		locality	1
110088	102030425	Delhi		locality	30
110089	102030425	Delhi		locality	3
110091	1125783031	Delhi		locality	11
110092	1125783031	Delhi		locality	19
110093	1125783031	Delhi		locality	4
110093	1327173425	Shahdara		locality	2
110094	102030425	Delhi		locality	2
110095	1125783031	Delhi		locality	5
110096	1125783031	Delhi		locality	14
121001	102030289	Faridabad		locality	3
121001	102031069	Haryāna		locality	2
121002	102030289	Faridabad		locality	3
121003	102030289	Faridabad		locality	8
121004	102030289	Faridabad		locality	4
121004	102030841	Ballabgarh		locality	1
121008	102030289	Faridabad		locality	1
121010	102030289	Faridabad		locality	5
121102	890501451	Palwal		locality	2
122001	102030161	Gurugram		locality	98
122002	102030161	Gurugram		locality	22
122003	102030161	Gurugram		locality	3
122004	102030161	Gurugram		locality	1
122009	102030161	Gurugram		locality	2
122010	102030161	Gurugram		locality	1
122011	102030161	Gurugram		locality	8
122012	102030161	Gurugram		locality	1
122016	102030161	Gurugram		locality	2
122016	102031069	Haryāna		locality	1
122017	102030161	Gurugram		locality	4
122018	102030161	Gurugram		locality	14
122050	102031069	Haryāna		locality	2
122051	102030161	Gurugram		locality	1
122051	102031069	Haryāna		locality	1
122101	102030161	Gurugram		locality	1
122102	1309894369	Damdama		locality	2
122103	102028587	Sohna		locality	3
122105	102030161	Gurugram		locality	1
122107	890501471	Nuh		locality	1
122108	1209393521	Bhadas		locality	1
122505	102030161	Gurugram		locality	1
123001	1293260415	Mandhana		locality	3
123001	102029225	Narnaul		locality	2
123401	102028817	Rewari		locality	8
124001	102028805	Rohtak		locality	12
124001	102030997	Aligarh		locality	1
124507	102030855	Bahadurgarh		locality	16
124525	1125880117	Bahadurgarh		locality	21
125001	102030095	Hisar		locality	7
125005	102030095	Hisar		locality	1
125006	102030095	Hisar		locality	5
125044	102030095	Hisar		locality	2
125050	102030283	Fatehabad		locality	1
125051	890505665	Ratia		locality	5
125051	102030283	Fatehabad		locality	1
125055	102028609	Sirsa		locality	2
125102	890504345	Ellenabad		locality	1
125120	102028411	Tohana		locality	1
125121	102030095	Hisar		locality	1
126102	890504015	Jind		locality	1
126102	1243252201	Kandela		locality	1
126112	890504015	Jind		locality	4
127021	102030679	Bhiwani		locality	1
131001	102028575	Sonipat		locality	3
131001	102028805	Rohtak		locality	1
131305	102028575	Sonipat		locality	1
132001	102029821	Karnal		locality	36
132022	1209309323	Kunjpura		locality	1
132103	102029095	Panipat		locality	5
133001	102030973	Ambala		locality	3
