010414	1141909417	Bucharest		locality	2
010415	1141909417	Bucharest		locality	3
010416	1141909417	Bucharest		locality	2
10425	101834625	Poiana Comarnic		locality	1
010433	1141909417	Bucharest		locality	1
010445	1141909417	Bucharest		locality	1
010449	1141909417	Bucharest		locality	6
010451	1141909417	Bucharest		locality	10
010452	1141909417	Bucharest		locality	3
010453	1141909417	Bucharest		locality	4
010454	1141909417	Bucharest		locality	5
010455	1141909417	Bucharest		locality	5
010456	1141909417	Bucharest		locality	3
010457	1141909417	Bucharest		locality	5
010458	1141909417	Bucharest		locality	13
010459	1141909417	Bucharest		locality	10
010461	1141909417	Bucharest		locality	6
010462	1141909417	Bucharest		locality	6
010463	1141909417	Bucharest		locality	9
010465	1141909417	Bucharest		locality	5
010471	1141909417	Bucharest		locality	4
010472	1141909417	Bucharest		locality	6
010473	1141909417	Bucharest		locality	5
010474	1141909417	Bucharest		locality	5
010475	1141909417	Bucharest		locality	3
010478	1141909417	Bucharest		locality	1
010491	1141909417	Bucharest		locality	10
010492	1141909417	Bucharest		locality	8
010493	1141909417	Bucharest		locality	10
010494	1141909417	Bucharest		locality	6
010495	1141909417	Bucharest		locality	4
010496	1141909417	Bucharest		locality	11
010497	1141909417	Bucharest		locality	4
10500	101834657	Buşteni		locality	1
10500	101834623	Câmpina		locality	1
010501	1141909417	Bucharest		locality	4
010502	1141909417	Bucharest		locality	5
10502	101834669	Breaza de Sus		locality	1
010503	1141909417	Bucharest		locality	10
010504	1141909417	Bucharest		locality	9
010505	1141909417	Bucharest		locality	12
010506	1141909417	Bucharest		locality	7
010507	1141909417	Bucharest		locality	2
010512	1141909417	Bucharest		locality	1
010513	1141909417	Bucharest		locality	7
010515	1141909417	Bucharest		locality	5
010516	1141909417	Bucharest		locality	3
010517	1141909417	Bucharest		locality	6
010521	1141909417	Bucharest		locality	6
010522	1141909417	Bucharest		locality	5
010531	1141909417	Bucharest		locality	8
010532	1141909417	Bucharest		locality	6
010533	1141909417	Bucharest		locality	8
010534	1141909417	Bucharest		locality	4
010536	1141909417	Bucharest		locality	14
010537	1141909417	Bucharest		locality	18
010538	1141909417	Bucharest		locality	15
010539	1141909417	Bucharest		locality	16
010541	1141909417	Bucharest		locality	6
010542	1141909417	Bucharest		locality	10
010543	1141909417	Bucharest		locality	8
10550	101834657	Buşteni		locality	1
010551	1141909417	Bucharest		locality	3
010553	1141909417	Bucharest		locality	8
010554	1141909417	Bucharest		locality	2
010555	1141909417	Bucharest		locality	2
010556	1141909417	Bucharest		locality	4
010557	1141909417	Bucharest		locality	3
010558	1141909417	Bucharest		locality	6
010559	1141909417	Bucharest		locality	2
10560	101834623	Câmpina		locality	5
010561	1141909417	Bucharest		locality	6
010564	1141909417	Bucharest		locality	6
010565	1141909417	Bucharest		locality	9
010566	1141909417	Bucharest		locality	2
010567	1141909417	Bucharest		locality	1
010571	1141909417	Bucharest		locality	1
010572	1141909417	Bucharest		locality	6
010573	1125857071	Bucharest		locality	8
010574	1141909417	Bucharest		locality	8
010575	1141909417	Bucharest		locality	8
010576	1141909417	Bucharest		locality	6
010578	1141909417	Bucharest		locality	1
010579	1141909417	Bucharest		locality	3
010581	1141909417	Bucharest		locality	4
010582	1141909417	Bucharest		locality	2
010583	1141909417	Bucharest		locality	2
010584	1141909417	Bucharest		locality	4
010585	1141909417	Bucharest		locality	9
010586	1141909417	Bucharest		locality	5
010587	1141909417	Bucharest		locality	15
010588	1141909417	Bucharest		locality	2
010592	1141909417	Bucharest		locality	10
010593	1141909417	Bucharest		locality	8
010598	1141909417	Bucharest		locality	9
010599	1141909417	Bucharest		locality	7
010601	1141909417	Bucharest		locality	15
010602	1141909417	Bucharest		locality	18
010603	1141909417	Bucharest		locality	4
010604	1141909417	Bucharest		locality	7
010611	1141909417	Bucharest		locality	10
010612	1141909417	Bucharest		locality	3
010615	1141909417	Bucharest		locality	6
010617	1141909417	Bucharest		locality	1
010621	1141909417	Bucharest		locality	3
010623	1141909417	Bucharest		locality	19
010624	1141909417	Bucharest		locality	14
010625	1141909417	Bucharest		locality	3
010626	1141909417	Bucharest		locality	33
010627	1141909417	Bucharest		locality	42
010628	1141909417	Bucharest		locality	10
010631	1141909417	Bucharest		locality	12
010632	1141909417	Bucharest		locality	10
010633	1141909417	Bucharest		locality	8
010637	1141909417	Bucharest		locality	1
010638	1141909417	Bucharest		locality	7
010639	1141909417	Bucharest		locality	11
010641	1141909417	Bucharest		locality	6
010642	1141909417	Bucharest		locality	14
010643	1141909417	Bucharest		locality	2
010644	1141909417	Bucharest		locality	16
010645	1141909417	Bucharest		locality	6
010646	1141909417	Bucharest		locality	2
010651	1141909417	Bucharest		locality	7
010652	1141909417	Bucharest		locality	5
010653	1141909417	Bucharest		locality	2
010654	1141909417	Bucharest		locality	4
010661	1141909417	Bucharest		locality	12
010662	1141909417	Bucharest		locality	4
010663	1141909417	Bucharest		locality	4
010664	1141909417	Bucharest		locality	5
010665	1141909417	Bucharest		locality	4
010667	1141909417	Bucharest		locality	1
010667	1125888189	Ploiești		locality	1
010668	1141909417	Bucharest		locality	1
010669	1141909417	Bucharest		locality	10
010671	1141909417	Bucharest		locality	10
010672	1141909417	Bucharest		locality	2
010673	1141909417	Bucharest		locality	15
010702	1141909417	Bucharest		locality	2
010703	1141909417	Bucharest		locality	1
010704	1141909417	Bucharest		locality	10
010706	101751949	Bucureşti		locality	7
010707	1141909417	Bucharest		locality	1
010708	1141909417	Bucharest		locality	2
010711	1141909417	Bucharest		locality	3
010719	1141909417	Bucharest		locality	1
010721	1141909417	Bucharest		locality	1
010732	1141909417	Bucharest		locality	2
010733	1141909417	Bucharest		locality	3
010734	1141909417	Bucharest		locality	4
010741	1141909417	Bucharest		locality	3
010745	1141909417	Bucharest		locality	1
10745	101855801	Provița de Jos		locality	1
010748	1141909417	Bucharest		locality	4
010751	1141909417	Bucharest		locality	4
010752	1141909417	Bucharest		locality	3
010753	1141909417	Bucharest		locality	2
010754	1141909417	Bucharest		locality	2
010755	1141909417	Bucharest		locality	5
010756	1141909417	Bucharest		locality	2
010757	1141909417	Bucharest		locality	2
010758	1141909417	Bucharest		locality	1
010759	1141909417	Bucharest		locality	2
