la meseta	421171099	Sativanorte		locality	50
176020	421173091	Chinchiná		locality	1
190001	421191721	Popayán		locality	1
190002	421191721	Popayán		locality	1
191520	890430855	Miranda		locality	1
200003	421173095	Valledupar		locality	1
210008	421204339	Montería		locality	1
230002	421204339	Montería		locality	1
230003	421204339	Montería		locality	1
230004	421204339	Montería		locality	2
250002	421185805	Chía		locality	2
250010	421173011	Cota		locality	1
250051	421176361	Soacha		locality	4
250070	421179445	Sibaté		locality	5
251001	1125940531	Sopó		locality	1
251048	890444931	Suesca		locality	1
252211	421176421	Fusagasugá		locality	1
252431	421198123	Girardot		locality	58
252432	421198123	Girardot		locality	146
252601	421202911	La Mesa		locality	1
253051	421179523	Facatativá		locality	1
253480	421201249	La Dorada		locality	1
253601	421167787	San Francisco		locality	1
272040	890433145	El Cantón de San Pablo		locality	13
274010	421169815	Istmina		locality	1
414020	421195475	Garzón		locality	1
440001	1141907583	Riohacha		locality	3
470001	421192147	Taganga		locality	1
470002	421187335	Santa Marta		locality	1
470003	890441941	Santa Marta		locality	1
470004	890441941	Santa Marta		locality	4
470008	421176791	Minca		locality	2
500001	421170091	Villavicencio		locality	9
500003	890444953	Pasto		locality	1
500005	890440337	Villavicencio		locality	1
520000	421204343	Pasto		locality	1
524060	421172789	Ipiales		locality	1
540001	421181365	Cúcuta		locality	1
540004	421181365	Cúcuta		locality	2
540006	421181365	Cúcuta		locality	15
544510	421193137	Durania		locality	3
630001-025	421169147	Armenia		locality	23
630001-077	421169147	Armenia		locality	16
630001-076	421169147	Armenia		locality	14
630001	421169147	Armenia		locality	1
630001-087	421169147	Armenia		locality	1
630002	421169147	Armenia		locality	1
630003	421169147	Armenia		locality	88
630003-196	421169147	Armenia		locality	22
630003-047	421169147	Armenia		locality	21
630003-199	421169147	Armenia		locality	20
630003-197	421169147	Armenia		locality	13
630003-200	421169147	Armenia		locality	13
630003-179	421169147	Armenia		locality	12
630003-353	421169147	Armenia		locality	12
630003-350	421169147	Armenia		locality	10
630003-048	421169147	Armenia		locality	9
630003-178	421169147	Armenia		locality	9
630003-181	421169147	Armenia		locality	9
630003-185	421169147	Armenia		locality	7
630003-327	421169147	Armenia		locality	6
630003-341	421169147	Armenia		locality	5
630003-349	421169147	Armenia		locality	4
630003-198	421169147	Armenia		locality	3
630003-342	421169147	Armenia		locality	2
630003-093	421169147	Armenia		locality	1
630003-344	421169147	Armenia		locality	1
630003-378	421169147	Armenia		locality	1
630003-465	421169147	Armenia		locality	1
630004	421169147	Armenia		locality	598
630004-044	421169147	Armenia		locality	26
630004-046	421169147	Armenia		locality	9
630004-058	421169147	Armenia		locality	8
630004-404	421169147	Armenia		locality	4
630004-400	421169147	Armenia		locality	2
631001	421181373	Circasia		locality	5
632001	421173093	Calarcá		locality	36
634001	421197965	Filandia		locality	2
660002	890440193	Pereira		locality	2
660003	890440193	Pereira		locality	3
661001	421197773	Dosquebradas		locality	1
661002	421197773	Dosquebradas		locality	2
680001	890444993	Bucaramanga		locality	1
680002	890444993	Bucaramanga		locality	3
680003	890444993	Bucaramanga		locality	1
680005	890444993	Bucaramanga		locality	1
684041	421179551	Barichara		locality	1
687031	421176475	Barrancabermeja		locality	1
700020	421172785	Sincelejo		locality	1
720025	421169145	Santiago de Cali		locality	1
730001	421172939	Ibagué		locality	1
730002	1141908623	Ibagué		locality	1
730003	1141908623	Ibagué		locality	1
730005	1141908623	Ibagué		locality	1
733520	421166411	El Espinal		locality	1
734001	421181385	Melgar		locality	1
750004	421169145	Santiago de Cali		locality	1
760001	421169145	Santiago de Cali		locality	16
760006	421169145	Santiago de Cali		locality	1
760020	421169145	Santiago de Cali		locality	1
760021	421169145	Santiago de Cali		locality	1
760026	421169145	Santiago de Cali		locality	2
760032	421169145	Santiago de Cali		locality	1
760033	421169145	Santiago de Cali		locality	1
760035	421169145	Santiago de Cali		locality	3
760040	421169145	Santiago de Cali		locality	4
760043	421169145	Santiago de Cali		locality	3
760044	421169145	Santiago de Cali		locality	1
760045	421169145	Santiago de Cali		locality	5
760046	421169145	Santiago de Cali		locality	1
760050	421169145	Santiago de Cali		locality	1
760101	421169145	Santiago de Cali		locality	1
760517	890435215	La Cumbre		locality	2
761550	421187351	Roldanillo		locality	1
763531	421173089	Palmira		locality	1
763532	421173089	Palmira		locality	1
763533	421173089	Palmira		locality	11
0764001	890433265	Jamundí		locality	1
850001	421173139	Yopal		locality	1
855010	890431007	Monterrey		locality	1
860001	1125940673	Mocoa		locality	1
1100111	421186687	Bogotá		locality	5
1166087	421186687	Bogotá		locality	3
1166090	421186687	Bogotá		locality	1
3549090	421179527	Envigado		locality	1
05001000	421186691	Medellín		locality	1
7451506	421169147	Armenia		locality	1
15001000	890444921	Tunja		locality	1
053080002	421187345	Girardota		locality	1
76001000	421176795	Tuluá		locality	1
111166087	421186687	Bogotá		locality	1
111211139	421186687	Bogotá		locality	1
111311091	421186687	Bogotá		locality	1
154640331	421169143	Chiquinquirá		locality	1
252432434	421198123	Girardot		locality	2
630002001	421169147	Armenia		locality	7
630002003	421169147	Armenia		locality	7
630002009	421169147	Armenia		locality	11
630002010	421169147	Armenia		locality	14
630002011	421169147	Armenia		locality	18
630002012	421169147	Armenia		locality	25
630002014	421169147	Armenia		locality	13
630002544	421169147	Armenia		locality	8
630003002	421169147	Armenia		locality	2
630003004	421169147	Armenia		locality	5
630003005	421169147	Armenia		locality	1
630003013	421169147	Armenia		locality	9
630003014	421169147	Armenia		locality	4
630003015	421169147	Armenia		locality	4
630003016	421169147	Armenia		locality	4
630003063	421169147	Armenia		locality	2
630003064	421169147	Armenia		locality	18
630003065	421169147	Armenia		locality	19
630003079	421169147	Armenia		locality	10
630003080	421169147	Armenia		locality	1
630003084	421169147	Armenia		locality	13
630004008	421169147	Armenia		locality	21
630004056	421169147	Armenia		locality	15
630004060	421169147	Armenia		locality	13
630004062	421169147	Armenia		locality	14
630004064	421169147	Armenia		locality	10
630004066	421169147	Armenia		locality	2
630004068	421169147	Armenia		locality	2
630004070	421169147	Armenia		locality	28
630004072	421169147	Armenia		locality	23
630004074	421169147	Armenia		locality	13
630004076	421169147	Armenia		locality	24
630004078	421169147	Armenia		locality	16
630004080	421169147	Armenia		locality	11
630004086	421169147	Armenia		locality	21
630004088	421169147	Armenia		locality	13
630004090	421169147	Armenia		locality	33
630004092	421169147	Armenia		locality	17
630004094	421169147	Armenia		locality	25
630004096	421169147	Armenia		locality	22
630004098	421169147	Armenia		locality	17
630004100	421169147	Armenia		locality	14
630004102	421169147	Armenia		locality	3
630004104	421169147	Armenia		locality	1
630004106	421169147	Armenia		locality	33
630004108	421169147	Armenia		locality	9
630004126	421169147	Armenia		locality	26
630004140	421169147	Armenia		locality	21
630004142	421169147	Armenia		locality	10
630004238	421169147	Armenia		locality	16
630004246	421169147	Armenia		locality	22
630004248	421169147	Armenia		locality	26
630004288	421169147	Armenia		locality	22
630004300	421169147	Armenia		locality	15
630004500	421169147	Armenia		locality	1
630004506	421169147	Armenia		locality	2
630004510	421169147	Armenia		locality	3
630004514	421169147	Armenia		locality	3
630004516	421169147	Armenia		locality	5
630004518	421169147	Armenia		locality	1
630004624	421169147	Armenia		locality	2
760026351	421169145	Santiago de Cali		locality	1
