01603,85950375,Worcester,
01604,85950375,Worcester,
01605,85950375,Worcester,
01606,85950375,Worcester,
01607,85950375,Worcester,
01608,85950375,Worcester,
01609,85950375,Worcester,
01610,85950375,Worcester,
01611,1126029829,Cherry Valley,
01612,1125780441,Paxton,
01701,85950629,Framingham,
01702,85950629,Framingham,
01718,1126051117,Acton,
01719,1126009985,Boxborough,
01720,1126051117,Acton,
01721,1125844863,Ashland,
01730,1125903649,Bedford,
01740,1125825479,Bolton,
01741,1126039465,Carlisle,
01742,1126053829,Concord,
01745,85950375,Worcester,
01746,1125951785,Holliston,
01747,85950727,Hopedale,
01748,85950633,Hopkinton,
01749,85950635,Hudson,
01752,85950343,Marlborough,
01754,85950643,Maynard,
01756,1125840511,Mendon,
01757,85950733,Milford,
01760,1126039499,Natick,
01770,1125780895,Sherborn,
01772,1125885821,Southborough,
01773,1126044989,Lincoln,
01775,1126039523,Stow,
01776,1125765277,Sudbury,
01778,1125839479,Wayland,
01801,85950353,Woburn,
01803,85950619,Burlington,
01810,85950785,Andover,
01821,1125903665,Billerica,
01824,1125903689,Chelmsford,
01826,1125845149,Dracut,
01827,1125781089,Dunstable,
01830,85950417,Haverhill,
01832,85950417,Haverhill,
01833,1125959353,Georgetown,
01834,1125958071,Groveland,
01835,85950417,Haverhill,
01840,85950415,Lawrence,
01841,85950415,Lawrence,
01843,85950415,Lawrence,
01844,85950411,Methuen Town,
01845,1125929809,North Andover,
01850,85950327,Lowell,
01851,85950327,Lowell,
01852,85950327,Lowell,
01854,85950327,Lowell,
01860,1125923765,Merrimac,
01862,1125817991,North Billerica,
01863,1125826035,North Chelmsford,
01864,1125960281,North Reading,
01867,85950649,Reading,
01876,1125796893,Tewksbury,
01879,1125766149,Tyngsboro,
01880,85950659,Wakefield,
01886,1125899005,Westford,
01887,85950663,Wilmington,
01890,85950665,Winchester,
01901,85950413,Lynn,
01902,85950413,Lynn,
01904,85950413,Lynn,
01905,85950413,Lynn,
01906,85950809,Saugus,
01907,85950811,Swampscott,
01908,85950799,Nahant,
01913,85950401,Amesbury Town,
01915,85950421,Beverly,
01921,85950787,Boxford,
01922,1125768911,Byfield,
01923,85950789,Danvers,
01929,85950791,Essex,
01930,85950419,Gloucester,
01937,1125832957,Hathorne,
01938,85950793,Ipswich,
01940,85950795,Lynnfield,
01944,85975081,Manchester,
01945,85950797,Marblehead,
01949,1126057071,Middleton,
01950,85950409,Newburyport,
01951,1125852389,Newbury,
01952,85950807,Salisbury,
01960,85950407,Peabody,
01966,85950803,Rockport,
01969,85950805,Rowley,
01970,85950403,Salem,
01982,1125810915,South Hamilton,
01983,85950813,Topsfield,
01984,1125889597,Wenham,
01985,1125971023,West Newbury,
02019,85950815,Bellingham,
02021,1126040303,Canton,
02025,1126039483,Cohasset,
02026,85950821,Dedham,
02030,85950823,Dover,
02032,1125829159,East Walpole,
02035,85950825,Foxboro,
02038,85950431,Franklin Town,
02043,85950451,Hingham,
02045,85950453,Hull,
02047,1126014225,Humarock,
02050,85950461,Marshfield,
02052,85950829,Medfield,
02053,1125829867,Medway,
02054,1125879549,Millis,
02056,1125776543,Norfolk,
02061,1125952333,Norwell,
02062,85950839,Norwood,
02066,85950485,Scituate,
02067,85950843,Sharon,
02071,1125913625,South Walpole,
02072,1125765257,Stoughton,
02081,85950845,Walpole,
02090,1125782059,Westwood,
02093,1125997135,Wrentham,
02108,85950361,Boston,
02109,85950361,Boston,
02110,85950361,Boston,
02111,85950361,Boston,
02113,85950361,Boston,
02114,85950361,Boston,
02115,85950361,Boston,
02116,85950361,Boston,
02118,85950361,Boston,
02138,85950329,Cambridge,
02139,85950329,Cambridge,
02140,85950329,Cambridge,
02141,85950329,Cambridge,
02142,85950329,Cambridge,
02143,85950339,Somerville,
02144,85950339,Somerville,
02145,85950339,Somerville,
02148,85950349,Malden,
02149,85950331,Everett,
02150,85950359,Chelsea,
02151,85950357,Revere,
02155,85950347,Medford,
02163,85950361,Boston,
02169,85950429,Quincy,
02170,85950429,Quincy,
02171,85950429,Quincy,
02176,85950345,Melrose,
02180,85950653,Stoneham,
02184,85950425,Braintree Town,
02186,85950833,Milton,
02188,85950427,Weymouth Town,
02189,1125957945,East Weymouth,
02190,1125996841,South Weymouth,
02191,1125991471,North Weymouth,
02199,85950361,Boston,
02203,85950361,Boston,
02210,85950361,Boston,
02215,85950361,Boston,
02301,85950319,Brockton,
02302,85950319,Brockton,
02322,1125983505,Avon,
02324,85950443,Bridgewater,
02330,1125877209,Carver,
02332,85950445,Duxbury,
